Game Matchup,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,Projected Home Goals,Projected Away Goals,Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability
Fiorentina vs. AC Milan,2.69,2.54,4.25,2.75,2.55,3.4,0.02,0.0,-0.2,1.5500935748218534,1.6167036770519543,3.166797251873808,37.13%,39.32%,23.55%
Genoa vs. Frosinone,2.29,3.27,3.9,1.95,3.8,3.6,-0.15,0.16,-0.08,1.516402068861826,1.2329425598300439,2.74934462869187,43.73%,30.60%,25.67%
Lazio vs. Juventus,3.99,2.17,3.47,3.05,2.45,3.15,-0.24,0.13,-0.09,0.8859613051350816,1.2919654369950044,2.177926742130086,25.08%,46.13%,28.79%
Napoli vs. Atalanta,2.04,3.68,4.21,2.1,3.35,3.65,0.03,-0.09,-0.13,1.7098166976944975,1.1794067284130818,2.8892234261075793,49.07%,27.20%,23.73%
Torino vs. Monza,1.77,6.01,3.74,1.83,4.5,3.5,0.03,-0.25,-0.06,1.4412363956950653,0.6400387656573396,2.081275161352405,56.61%,16.65%,26.74%
Bologna vs. Salernitana,1.29,14.81,6.47,1.3,10.0,5.6,0.01,-0.32,-0.13,2.286966388867373,0.5202773970073404,2.8072437858747135,77.80%,6.75%,15.45%
Cagliari vs. Verona,1.84,4.43,4.36,2.2,3.45,3.25,0.2,-0.22,-0.25,1.727337589788087,1.0248409971956067,2.7521785869836934,54.47%,22.58%,22.95%
Inter vs. Empoli,1.28,12.89,7.09,1.23,11.0,6.75,-0.04,-0.15,-0.05,2.5626828469113447,0.668404692847712,3.2310875397590566,78.14%,7.76%,14.10%
Lecce vs. Roma,4.24,1.85,4.47,4.2,1.87,3.6,-0.01,0.01,-0.19,1.172258085254226,1.8660055841616892,3.0382636694159153,23.57%,54.07%,22.36%
Sassuolo vs. Udinese,2.68,2.7,3.9,2.85,2.45,3.4,0.06,-0.09,-0.13,1.3159818420998097,1.3172238395484446,2.6332056816482545,37.36%,37.01%,25.63%
